ID	NAME	POLICY	STATUS
57	ADARA MEDIA UNLIMITED	https://adara.com/privacy-promise/	403
81	PulsePoint, Inc.	https://www.pulsepoint.com/privacy-policy/website	404
86	Scene Stealer Limited	https://scenestealer.tv/privacy-policy/	301
144	district m inc.	https://districtm.net/en/page/platforms-data-and-privacy-policy/	500
179	Collective Europe Ltd.	https://www.collectiveuk.com/privacy.html	error
223	Audience Trading Platform Ltd.	https://atp.io/privacy-policy	error
250	Qriously Ltd	https://www.brandwatch.com/legal/qriously-privacy-notice/	404
265	Instinctive, Inc.	https://instinctive.io/privacy	404
275	TabMo SAS	https://static.tabmo.io.s3.amazonaws.com/privacy-policy/index.html	error
298	Cuebiq	https://privacy.cuebiq.com	error
317	mainADV Srl	https://www.mainad.com/privacy-policy/	403
318	Accorp Sp. z o.o.	https://www.instytut-pollster.pl/privacy-policy/	error
349	Optomaton UG	https://www.optomaton.com/privacy.html	error
408	Fidelity Media	https://fidelity-media.com/privacy-policy/	error
447	Adludio Ltd.	https://www.adludio.com/termsandconditions#privacy	404
448	Targetspot Belgium SPRL	https://marketing.targetspot.com/Targetspot/Legal/TargetSpot%20Privacy%20Policy%20-%20June%202018.pdf	error
467	Haensel AMS GmbH	https://haensel-ams.com/data-privacy/	404
482	UberMedia, Inc.	https://ubermedia.com/summary-of-privacy-policy/	error
484	SublimeSkinz - Adledge	https://adledge.com/data-privacy/	404
574	Realeyes OU	https://realview.realeyesit.com/privacy	error
579	Ve Global UK Limited	https://www.optomaton.com/privacy.html	error
609	Predicio	https://www.predic.io/privacy	error
610	Azerion Holding B.V.	https://azerion.com/business/privacy.html	404
624	Norstat AS	https://www.norstatpanel.com/en/data-protection	403
653	Smartme Analytics	https://smartmeapp.com/info/smartme/aviso_legal.php	error
656	Content Ignite	https://www.contentignite.com/privacy-policy/	404
717	Audience Network	https://www.en.audiencenetwork.pl/internet-advertising-privacy-policy	error
718	XChange by SFBX®	https://appconsent.io/en/privacy-policy	404
720	AAX LLC	https://aax.media/privacy/	403
735	Deutsche Post AG	https://www.deutschepost.de/de/c/consentric/datenschutz.html	404
763	Delidatax SL	https://www.delidatax.net/privacy.htm	error
777	One Planet Only	https://oneplanetonly.com/files/PRIVACY%20POLICY.pdf	error
789	IP Deutschland GmbH	https://www.ip.de/lp/impressum/datenschutz.cfm	404
793	Amazon Advertising	https://www.amazon.co.uk/gp/help/customer/display.html?nodeId=201909010	405
818	ZEDO Inc.	https://www.zedo.com/about-zedo/privacy-policy-december-2019/	error
838	Jetpack Digital LLC	https://jetpack.net/privacy	error
840	Cazamba Serviços de Internet Ltda	https://cazamba.com/platform-privacy/	error
841	Adtube AS	https://api.adtube.no/resources/docs/privacy_policy_AppConnect.pdf	error
844	SPICY MOBILE Sp z o.o. Sp.k.	https://spicymobile.pl/polityka-prywatnosci	404
912	Squared SAS	https://qwarry.com/imprint/	404
925	Alphalyr SAS	https://alphalyr.fr/en/privacy-policy/	304
974	SpearAd GmbH	https://www.spearad.com/note1	404
989	SPEAKOL DMCC	https://speakol.com/terms-of-use	404
1035	Allegro.pl	https://allegro.pl/terms/attachment/5	403
1040	UniCredit S.p.A.	https://www.unicredit.it/it/info/informativa-cookies.html	403
1042	Mars Inc.	https://www.mars.com/privacy	403
1067	Arpeely Ltd.	https://arpeely.com/yourprivacy.html	404
1098	ACTV8, Inc.	https://app.box.com/s/y2g3p7gcfci511wg5gvknfk271anz4wg	404
